#SampleID	Cow_ID	Class	TRT	Class_TRT	Site	Cycling	P4	OBS
JM150	Cow_3492	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	1	3.321907314	GOOD
JM151	Cow_3492	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	1	3.321907314	GOOD
JM132	Cow_3495	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	1	1.951399337	GOOD
JM133	Cow_3495	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	1	1.951399337	GOOD
JM134	Cow_3495	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	1	1.951399337	GOOD
JM135	Cow_3495	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	1	1.951399337	GOOD
JM140	Cow_3509	HEALTHY	NO_TRT	HEALTHY_NO_TRT	D7	1	3.351211267	GOOD
JM141	Cow_3509	HEALTHY	NO_TRT	HEALTHY_NO_TRT	External	1	3.351211267	GOOD
JM142	Cow_3509	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Gravid_horn	1	3.351211267	GOOD
JM143	Cow_3509	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Non-Gravid_horn	1	3.351211267	GOOD
JM180	Cow_3512	HEALTHY	NO_TRT	HEALTHY_NO_TRT	D7	1	0.519325775	GOOD
JM181	Cow_3512	HEALTHY	NO_TRT	HEALTHY_NO_TRT	External	1	0.519325775	GOOD
JM182	Cow_3512	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Gravid_horn	1	0.519325775	GOOD
JM183	Cow_3512	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Non-Gravid_horn	1	0.519325775	GOOD
JM144	Cow_3522	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	0	0.0231406	GOOD
JM145	Cow_3522	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	0	0.0231406	GOOD
JM146	Cow_3522	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	0	0.0231406	GOOD
JM147	Cow_3522	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	0	0.0231406	GOOD
JM260	Cow_3523	METRITIS	NO_TRT	METRITIS_NO_TRT	D7	0	0.001	METRITIS
JM261	Cow_3523	METRITIS	NO_TRT	METRITIS_NO_TRT	External	0	0.001	METRITIS
JM262	Cow_3523	METRITIS	NO_TRT	METRITIS_NO_TRT	Gravid_horn	0	0.001	METRITIS
